From	To	Species	Gene Name
1417502_at	Q8R0Q6	Mus musculus	tetraspanin 7
1417502_at	Q62283	Mus musculus	tetraspanin 7
1417502_at	Q9DBS3	Mus musculus	tetraspanin 7
1417502_at	Q6PDN6	Mus musculus	tetraspanin 7
1417502_at	Q3UHG5	Mus musculus	tetraspanin 7
1417502_at	B1AUD0	Mus musculus	tetraspanin 7
1417502_at	O88429	Mus musculus	tetraspanin 7
1434402_at	Q9DA37	Mus musculus	sterile alpha motif domain containing 8
1434402_at	Q14AQ4	Mus musculus	sterile alpha motif domain containing 8
1434402_at	Q497L5	Mus musculus	sterile alpha motif domain containing 8
1434402_at	Q3UH82	Mus musculus	sterile alpha motif domain containing 8
1425747_at	Q91YL4	Mus musculus	dedicator of cytokinesis 5
1425747_at	B2RY04	Mus musculus	dedicator of cytokinesis 5
1425747_at	Q8BK93	Mus musculus	dedicator of cytokinesis 5
1420617_at	Q5SU48	Mus musculus	cytoplasmic polyadenylation element binding protein 4
1420617_at	Q9D5G2	Mus musculus	cytoplasmic polyadenylation element binding protein 4
1420617_at	Q69ZD7	Mus musculus	cytoplasmic polyadenylation element binding protein 4
1420617_at	Q5SU47	Mus musculus	cytoplasmic polyadenylation element binding protein 4
1420617_at	Q3TSF0	Mus musculus	cytoplasmic polyadenylation element binding protein 4
1420617_at	Q7TN98	Mus musculus	cytoplasmic polyadenylation element binding protein 4
1420617_at	Q3U4E1	Mus musculus	cytoplasmic polyadenylation element binding protein 4
1420617_at	A6H6G0	Mus musculus	cytoplasmic polyadenylation element binding protein 4
1420617_at	Q9D5F3	Mus musculus	cytoplasmic polyadenylation element binding protein 4
1416921_x_at	Q9CPQ9	Mus musculus	aldolase A, fructose-bisphosphate; predicted gene 8767; predicted gene 7556
1416921_x_at	Q6NY00	Mus musculus	aldolase A, fructose-bisphosphate; predicted gene 8767; predicted gene 7556
1416921_x_at	Q5FWB7	Mus musculus	aldolase A, fructose-bisphosphate; predicted gene 8767; predicted gene 7556
1416921_x_at	A6ZI44	Mus musculus	aldolase A, fructose-bisphosphate; predicted gene 8767; predicted gene 7556
1416921_x_at	P05064	Mus musculus	aldolase A, fructose-bisphosphate; predicted gene 8767; predicted gene 7556
1433546_at	Q8BK91	Mus musculus	glucosamine (N-acetyl)-6-sulfatase
1433546_at	Q3UBB0	Mus musculus	glucosamine (N-acetyl)-6-sulfatase
1433546_at	Q9CT25	Mus musculus	glucosamine (N-acetyl)-6-sulfatase
1433546_at	Q8BFR4	Mus musculus	glucosamine (N-acetyl)-6-sulfatase
1433546_at	Q8BJJ7	Mus musculus	glucosamine (N-acetyl)-6-sulfatase
1433546_at	Q6PCZ1	Mus musculus	glucosamine (N-acetyl)-6-sulfatase
1433546_at	Q3UDX9	Mus musculus	glucosamine (N-acetyl)-6-sulfatase
1433546_at	Q3TWT0	Mus musculus	glucosamine (N-acetyl)-6-sulfatase
1415947_at	Q8BJG6	Mus musculus	pappalysin 2
1415947_at	Q505G3	Mus musculus	pappalysin 2
1415845_at	Q8BGH3	Mus musculus	synaptotagmin IV
1415845_at	P40749	Mus musculus	synaptotagmin IV
1415845_at	Q3UFC1	Mus musculus	synaptotagmin IV
1415845_at	Q8BRL6	Mus musculus	synaptotagmin IV
1415845_at	Q571C5	Mus musculus	synaptotagmin IV
1425468_at	P04400	Mus musculus	proteolipid protein (myelin) 1
