From	To	Species	Gene Name
1433886_at	Q3TU39	Mus musculus	eukaryotic translation initiation factor 2B, subunit 5 epsilon
1433886_at	Q8CHW4	Mus musculus	eukaryotic translation initiation factor 2B, subunit 5 epsilon
1438984_x_at	Q3THC0	Mus musculus	proteasome (prosome, macropain) subunit, beta type 4
1438984_x_at	P99026	Mus musculus	proteasome (prosome, macropain) subunit, beta type 4
1438984_x_at	Q62008	Mus musculus	proteasome (prosome, macropain) subunit, beta type 4
1438984_x_at	Q8BK27	Mus musculus	proteasome (prosome, macropain) subunit, beta type 4
1438984_x_at	Q91VV7	Mus musculus	proteasome (prosome, macropain) subunit, beta type 4
1438984_x_at	Q3UVQ4	Mus musculus	proteasome (prosome, macropain) subunit, beta type 4
1438984_x_at	Q3THI3	Mus musculus	proteasome (prosome, macropain) subunit, beta type 4
1438984_x_at	Q3U0S0	Mus musculus	proteasome (prosome, macropain) subunit, beta type 4
1417738_at	Q9D1P3	Mus musculus	RAB25, member RAS oncogene family
1417738_at	Q9WTL2	Mus musculus	RAB25, member RAS oncogene family
1417738_at	Q0PD30	Mus musculus	RAB25, member RAS oncogene family
1419736_a_at	Q3UY50	Mus musculus	eukaryotic translation initiation factor 1A, Y-linked
1419736_a_at	Q8BJZ2	Mus musculus	eukaryotic translation initiation factor 1A, Y-linked
1419736_a_at	Q6ZWL8	Mus musculus	eukaryotic translation initiation factor 1A, Y-linked
1419736_a_at	B1AXP1	Mus musculus	eukaryotic translation initiation factor 1A, Y-linked
1419736_a_at	Q9CSL9	Mus musculus	eukaryotic translation initiation factor 1A, Y-linked
1419736_a_at	Q8BMH8	Mus musculus	eukaryotic translation initiation factor 1A, Y-linked
1419736_a_at	Q8BMJ3	Mus musculus	eukaryotic translation initiation factor 1A, Y-linked
1449482_at	Q8CGP0	Mus musculus	histone cluster 3, H2ba; histone cluster 3, H2bb
1449482_at	A2AB77	Mus musculus	histone cluster 3, H2ba; histone cluster 3, H2bb
1449482_at	Q3B7Z7	Mus musculus	histone cluster 3, H2ba; histone cluster 3, H2bb
1449482_at	Q9D2U9	Mus musculus	histone cluster 3, H2ba; histone cluster 3, H2bb
1424560_at	Q4V9R4	Mus musculus	proline-serine-threonine phosphatase-interacting protein 1
1424560_at	P97814	Mus musculus	proline-serine-threonine phosphatase-interacting protein 1
1450532_at	Q9D7M7	Mus musculus	RIKEN cDNA 2310002J15 gene
1450532_at	Q9D1E4	Mus musculus	RIKEN cDNA 2310002J15 gene
1449855_s_at	Q8BWQ9	Mus musculus	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
1449855_s_at	Q9EQX7	Mus musculus	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
1449855_s_at	Q9JKB1	Mus musculus	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
1449152_at	Q9QUP0	Mus musculus	similar to Cyclin-dependent kinase 4 inhibitor B (p14-INK4b) (p15-INK4b); cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
1449152_at	P55271	Mus musculus	similar to Cyclin-dependent kinase 4 inhibitor B (p14-INK4b) (p15-INK4b); cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
1449152_at	Q549R4	Mus musculus	similar to Cyclin-dependent kinase 4 inhibitor B (p14-INK4b) (p15-INK4b); cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
1449152_at	Q3UNM8	Mus musculus	similar to Cyclin-dependent kinase 4 inhibitor B (p14-INK4b) (p15-INK4b); cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
1449152_at	Q9QUJ3	Mus musculus	similar to Cyclin-dependent kinase 4 inhibitor B (p14-INK4b) (p15-INK4b); cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
1449152_at	O54846	Mus musculus	similar to Cyclin-dependent kinase 4 inhibitor B (p14-INK4b) (p15-INK4b); cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
1450997_at	Q8BLV9	Mus musculus	serine/threonine kinase 17b (apoptosis-inducing)
1450997_at	Q923E7	Mus musculus	serine/threonine kinase 17b (apoptosis-inducing)
1450997_at	Q8BG48	Mus musculus	serine/threonine kinase 17b (apoptosis-inducing)
1450997_at	Q3TNG7	Mus musculus	serine/threonine kinase 17b (apoptosis-inducing)
1426147_s_at	Q9CX57	Mus musculus	claudin 10
1426147_s_at	Q9Z0S6	Mus musculus	claudin 10
1426147_s_at	Q8VC62	Mus musculus	claudin 10
1426147_s_at	Q921J6	Mus musculus	claudin 10
1450460_at	Q3TU75	Mus musculus	aquaporin 3
1450460_at	Q9WTJ3	Mus musculus	aquaporin 3
1450460_at	Q8R2N1	Mus musculus	aquaporin 3
1450460_at	Q9JJN8	Mus musculus	aquaporin 3
1450645_at	Q499L1	Mus musculus	metallothionein 4
1450645_at	Q3V2E2	Mus musculus	metallothionein 4
1450645_at	Q2M2R0	Mus musculus	metallothionein 4
1450645_at	P47945	Mus musculus	metallothionein 4
1453092_at	Q6PAI5	Mus musculus	cysteine-rich C-terminal 1
1453092_at	Q9D7Q2	Mus musculus	cysteine-rich C-terminal 1
1425874_at	P50207	Mus musculus	homeo box C13
1425874_at	Q53Z78	Mus musculus	homeo box C13
1425874_at	Q920I7	Mus musculus	homeo box C13
1417127_at	P13297	Mus musculus	homeobox, msh-like 1
1417127_at	Q91W75	Mus musculus	homeobox, msh-like 1
1417127_at	Q9ERF6	Mus musculus	homeobox, msh-like 1
1428882_at	Q80W47	Mus musculus	WD repeat domain, phosphoinositide interacting 2
1425040_at	Q925G2	Mus musculus	cytochrome b reductase 1
1425040_at	A2AUU8	Mus musculus	cytochrome b reductase 1
1425040_at	Q9D7U1	Mus musculus	cytochrome b reductase 1
1425040_at	Q8K187	Mus musculus	cytochrome b reductase 1
1428007_at	Q8K198	Mus musculus	keratin associated protein 13-1
1449559_at	Q63856	Mus musculus	similar to homeobox protein; homeobox, msh-like 2
1449559_at	Q03358	Mus musculus	similar to homeobox protein; homeobox, msh-like 2
1449559_at	Q3UZH5	Mus musculus	similar to homeobox protein; homeobox, msh-like 2
1417373_a_at	P68368	Mus musculus	tubulin, alpha 4A
1417373_a_at	Q3TY31	Mus musculus	tubulin, alpha 4A
1417373_a_at	P05215	Mus musculus	tubulin, alpha 4A
1418283_at	Q3UM35	Mus musculus	claudin 4
1418283_at	O35054	Mus musculus	claudin 4
1439374_x_at	Q3U9P0	Mus musculus	ribosomal protein S10; predicted gene 9180
1439374_x_at	P09900	Mus musculus	ribosomal protein S10; predicted gene 9180
1439374_x_at	Q9DCR5	Mus musculus	ribosomal protein S10; predicted gene 9180
1439374_x_at	P63325	Mus musculus	ribosomal protein S10; predicted gene 9180
1439374_x_at	Q3UW83	Mus musculus	ribosomal protein S10; predicted gene 9180
1439374_x_at	Q5M9K7	Mus musculus	ribosomal protein S10; predicted gene 9180
1451546_s_at	Q8VCR5	Mus musculus	transmembrane protein 40
1451546_s_at	Q4FJU9	Mus musculus	transmembrane protein 40
1451546_s_at	Q8C5D2	Mus musculus	transmembrane protein 40
1452138_a_at	Q99N70	Mus musculus	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2
1452138_a_at	Q99N71	Mus musculus	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2
1452138_a_at	Q3UXR1	Mus musculus	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2
1452138_a_at	Q8R0I0	Mus musculus	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2
1452138_a_at	Q9D836	Mus musculus	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2
1452138_a_at	Q3URC9	Mus musculus	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2
1450860_at	Q4FK15	Mus musculus	leucine aminopeptidase 3
1450860_at	Q4FJV1	Mus musculus	leucine aminopeptidase 3
1450860_at	Q9CWN8	Mus musculus	leucine aminopeptidase 3
