From	To	Species	Gene Name
1427035_at	Q8VDL0	Mus musculus	solute carrier family 39 (zinc transporter), member 14
1427035_at	Q3TQ28	Mus musculus	solute carrier family 39 (zinc transporter), member 14
1427035_at	Q80U85	Mus musculus	solute carrier family 39 (zinc transporter), member 14
1427035_at	Q75N73	Mus musculus	solute carrier family 39 (zinc transporter), member 14
1427035_at	Q8R309	Mus musculus	solute carrier family 39 (zinc transporter), member 14
1420647_a_at	Q61463	Mus musculus	predicted gene 5604; keratin 8
1420647_a_at	Q78EH3	Mus musculus	predicted gene 5604; keratin 8
1420647_a_at	Q3TGI1	Mus musculus	predicted gene 5604; keratin 8
1420647_a_at	P11679	Mus musculus	predicted gene 5604; keratin 8
1420647_a_at	Q61518	Mus musculus	predicted gene 5604; keratin 8
1420647_a_at	Q3TKY7	Mus musculus	predicted gene 5604; keratin 8
1420647_a_at	Q61519	Mus musculus	predicted gene 5604; keratin 8
1420647_a_at	Q3TJE1	Mus musculus	predicted gene 5604; keratin 8
1420647_a_at	Q3KQK5	Mus musculus	predicted gene 5604; keratin 8
1428111_at	Q8VIE7	Mus musculus	solute carrier family 38, member 4
1428111_at	Q3TJ89	Mus musculus	solute carrier family 38, member 4
1428111_at	Q3TEZ9	Mus musculus	solute carrier family 38, member 4
1428111_at	Q9CVZ0	Mus musculus	solute carrier family 38, member 4
1428111_at	Q8R1S9	Mus musculus	solute carrier family 38, member 4
1428111_at	Q3TPL5	Mus musculus	solute carrier family 38, member 4
1433467_at	Q3TMY5	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
1433467_at	Q6ZQF5	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
1433467_at	Q3U084	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
1433467_at	Q8CFY3	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
1433467_at	Q8BGK6	Mus musculus	solute carrier family 7 (cationic amino acid transporter, y+ system), member 6
1421279_at	Q61092	Mus musculus	laminin, gamma 2
1421279_at	Q3UI29	Mus musculus	laminin, gamma 2
1421279_at	Q9R086	Mus musculus	laminin, gamma 2
1421279_at	Q61965	Mus musculus	laminin, gamma 2
1426477_at	Q3TTA2	Mus musculus	RAS p21 protein activator 1
1426477_at	Q91YX7	Mus musculus	RAS p21 protein activator 1
1426477_at	Q3V090	Mus musculus	RAS p21 protein activator 1
1422864_at	Q3UM65	Mus musculus	runt related transcription factor 1
1422864_at	O08598	Mus musculus	runt related transcription factor 1
1422864_at	Q8BQ09	Mus musculus	runt related transcription factor 1
