From	To	Species	Gene Name
1425783_at	Q9D4A0	Mus musculus	tandem C2 domains, nuclear
1425783_at	Q3UW74	Mus musculus	tandem C2 domains, nuclear
1425783_at	Q91XT6	Mus musculus	tandem C2 domains, nuclear
1454651_x_at	Q99KE4	Mus musculus	myelin basic protein
1454651_x_at	Q03139	Mus musculus	myelin basic protein
1454651_x_at	Q61836	Mus musculus	myelin basic protein
1454651_x_at	P04370	Mus musculus	myelin basic protein
1454651_x_at	Q542T4	Mus musculus	myelin basic protein
1454651_x_at	Q61837	Mus musculus	myelin basic protein
1454651_x_at	Q3UGF3	Mus musculus	myelin basic protein
1454651_x_at	Q03176	Mus musculus	myelin basic protein
1454651_x_at	Q09J72	Mus musculus	myelin basic protein
1454651_x_at	Q9QWP1	Mus musculus	myelin basic protein
1454651_x_at	Q5D096	Mus musculus	myelin basic protein
1454651_x_at	Q01585	Mus musculus	myelin basic protein
1460295_s_at	Q6PDI9	Mus musculus	interleukin 6 signal transducer
1460295_s_at	Q00560	Mus musculus	interleukin 6 signal transducer
1460295_s_at	Q3UQA0	Mus musculus	interleukin 6 signal transducer
1460295_s_at	Q3TDT5	Mus musculus	interleukin 6 signal transducer
1421424_a_at	Q99K63	Mus musculus	alanyl (membrane) aminopeptidase
1421424_a_at	Q91YH8	Mus musculus	alanyl (membrane) aminopeptidase
1421424_a_at	Q3TB69	Mus musculus	alanyl (membrane) aminopeptidase
1421424_a_at	P97449	Mus musculus	alanyl (membrane) aminopeptidase
1421424_a_at	Q3UP74	Mus musculus	alanyl (membrane) aminopeptidase
1427357_at	Q8R219	Mus musculus	cytidine deaminase
1427357_at	P56389	Mus musculus	cytidine deaminase
1427357_at	A2AM79	Mus musculus	cytidine deaminase
1427357_at	Q9D7V3	Mus musculus	cytidine deaminase
1451961_a_at	Q99KE4	Mus musculus	myelin basic protein
1451961_a_at	Q03139	Mus musculus	myelin basic protein
1451961_a_at	Q61836	Mus musculus	myelin basic protein
1451961_a_at	P04370	Mus musculus	myelin basic protein
1451961_a_at	Q542T4	Mus musculus	myelin basic protein
1451961_a_at	Q61837	Mus musculus	myelin basic protein
1451961_a_at	Q3UGF3	Mus musculus	myelin basic protein
1451961_a_at	Q03176	Mus musculus	myelin basic protein
1451961_a_at	Q09J72	Mus musculus	myelin basic protein
1451961_a_at	Q9QWP1	Mus musculus	myelin basic protein
1451961_a_at	Q5D096	Mus musculus	myelin basic protein
1451961_a_at	Q01585	Mus musculus	myelin basic protein
1423281_at	P55821	Mus musculus	stathmin-like 2
1423281_at	Q9CZ46	Mus musculus	stathmin-like 2
1423281_at	Q545S4	Mus musculus	stathmin-like 2
1419043_a_at	Q8K2V4	Mus musculus	interferon inducible GTPase 1; interferon-inducible GTPase-like
1419043_a_at	Q9QZ85	Mus musculus	interferon inducible GTPase 1; interferon-inducible GTPase-like
1419043_a_at	Q9Z1M3	Mus musculus	interferon inducible GTPase 1; interferon-inducible GTPase-like
1419043_a_at	Q8VDW7	Mus musculus	interferon inducible GTPase 1; interferon-inducible GTPase-like
1430522_a_at	Q9Z2P8	Mus musculus	vesicle-associated membrane protein 5
1430522_a_at	Q5M9K2	Mus musculus	vesicle-associated membrane protein 5
1430522_a_at	Q3UM44	Mus musculus	vesicle-associated membrane protein 5
1430522_a_at	Q791P0	Mus musculus	vesicle-associated membrane protein 5
1430522_a_at	Q9WU73	Mus musculus	vesicle-associated membrane protein 5
1434369_a_at	Q64325	Mus musculus	crystallin, alpha B
1434369_a_at	P23927	Mus musculus	crystallin, alpha B
1434369_a_at	Q52L78	Mus musculus	crystallin, alpha B
